name,rank,count,prop100k,cum_prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
GRANGER,1986,16721,6.20,48841.55,79.28,16.03,0.28,0.56,1.45,2.40
SHAVER,1987,16716,6.20,48847.75,92.34,3.85,0.38,0.71,1.14,1.58
HOPE,1988,16710,6.19,48853.94,72.07,23.03,0.65,0.72,1.86,1.66
COE,1989,16706,6.19,48860.14,84.60,10.44,1.20,0.47,1.57,1.72
BURROUGHS,1990,16702,6.19,48866.33,71.54,24.43,0.41,0.43,1.53,1.66
HELM,1991,16700,6.19,48872.52,89.40,6.83,0.65,0.41,1.49,1.22
AMBROSE,1992,16697,6.19,48878.71,83.36,11.73,1.07,0.87,1.19,1.78
NEUMANN,1992,16697,6.19,48884.90,96.01,0.25,0.59,0.34,1.05,1.76
MICHAELS,1994,16696,6.19,48891.09,93.02,2.90,0.50,0.31,1.38,1.89
PRESCOTT,1995,16686,6.19,48897.27,81.09,13.55,0.88,0.86,1.71,1.90
LIGHT,1996,16671,6.18,48903.45,92.89,3.14,0.65,0.76,1.16,1.39
DUMAS,1997,16660,6.18,48909.63,56.38,37.55,0.55,0.36,1.98,3.18
FLOOD,1998,16652,6.17,48915.80,81.07,14.10,0.49,1.23,1.45,1.65
STRINGER,1999,16634,6.17,48921.97,77.67,18.85,0.45,0.41,1.41,1.20
CURRIE,2000,16627,6.16,48928.13,71.34,24.81,0.38,0.53,1.51,1.43
COMER,2001,16619,6.16,48934.29,84.25,12.03,0.45,0.49,1.30,1.47
FONG,2002,16614,6.16,48940.45,4.62,1.01,84.81,0.10,4.63,4.84
WHITLOCK,2003,16603,6.15,48946.60,80.96,15.20,0.34,0.58,1.49,1.43
LEMUS,2004,16583,6.15,48952.75,5.00,0.31,0.25,0.22,0.53,93.69
HAWLEY,2005,16578,6.15,48958.90,91.41,4.25,0.45,1.16,1.26,1.47
ULRICH,2006,16575,6.14,48965.04,96.51,0.41,0.46,0.33,0.92,1.37
STAPLES,2007,16572,6.14,48971.18,73.51,21.29,0.49,1.50,1.87,1.33
BOYKIN,2008,16565,6.14,48977.32,45.54,50.89,0.26,0.38,1.61,1.32
KNUTSON,2009,16560,6.14,48983.46,96.71,0.21,0.41,0.40,1.11,1.15
GROVER,2010,16551,6.14,48989.60,85.90,6.10,4.05,0.90,1.58,1.47
HOBSON,2011,16517,6.12,48995.72,70.67,25.15,0.38,0.94,1.53,1.33
CORMIER,2012,16513,6.12,49001.84,84.36,12.26,0.28,0.29,1.34,1.47
DORAN,2013,16509,6.12,49007.96,92.06,1.74,0.79,0.35,1.22,3.84
THAYER,2014,16496,6.12,49014.08,94.62,0.85,0.57,1.31,1.29,1.36
WOODSON,2014,16496,6.12,49020.19,41.60,54.08,0.31,0.34,2.33,1.35
WHITT,2016,16488,6.11,49026.30,86.44,10.27,0.34,0.55,1.32,1.07
HOOKER,2017,16479,6.11,49032.41,73.00,22.36,0.30,0.44,1.49,2.41
KOHLER,2018,16477,6.11,49038.52,96.32,0.23,0.58,0.40,1.07,1.40
ADDISON,2019,16474,6.11,49044.63,53.00,42.49,0.38,1.19,1.78,1.17
VANDYKE,2019,16474,6.11,49050.73,91.81,4.77,0.42,0.36,1.21,1.44
SCHRADER,2021,16464,6.10,49056.84,96.88,0.27,0.36,0.26,0.89,1.34
HASKINS,2022,16457,6.10,49062.94,70.67,25.15,0.38,0.74,1.73,1.33
WHITTAKER,2023,16441,6.09,49069.03,78.54,16.67,0.52,0.57,1.83,1.87
MADSEN,2024,16425,6.09,49075.12,95.99,0.40,0.59,0.44,1.07,1.50
GAUTHIER,2025,16419,6.09,49081.21,89.60,5.25,0.38,1.15,1.63,1.99
BURNETTE,2026,16409,6.08,49087.29,75.79,18.24,0.30,3.30,1.46,0.91
KEATING,2027,16392,6.08,49093.37,95.70,1.07,0.52,0.24,1.09,1.38
PURVIS,2028,16381,6.07,49099.44,81.56,15.25,0.36,0.27,1.25,1.31
ALEMAN,2029,16379,6.07,49105.51,8.25,0.48,0.40,0.10,0.37,90.41
HUSTON,2030,16364,6.07,49111.58,87.80,8.12,0.37,0.54,1.50,1.67
HAMLIN,2031,16358,6.06,49117.64,81.33,14.60,0.35,0.78,1.50,1.43
PIMENTEL,2031,16358,6.06,49123.71,23.90,0.51,4.19,0.14,2.21,69.04
GERBER,2033,16348,6.06,49129.77,96.36,0.34,0.49,0.27,0.86,1.68
HOOKS,2034,16341,6.06,49135.82,51.24,44.67,0.25,0.21,1.98,1.66
SCHWAB,2035,16332,6.05,49141.88,96.57,0.23,0.47,0.22,1.13,1.38
HONEYCUTT,2036,16330,6.05,49147.93,92.17,4.20,0.27,1.00,1.20,1.15
SCHULTE,2037,16327,6.05,49153.98,97.40,0.19,0.37,0.18,0.76,1.11
ALONZO,2038,16326,6.05,49160.04,12.10,2.38,5.82,1.02,0.94,77.74
ISAAC,2039,16312,6.05,49166.08,43.81,39.91,3.64,3.02,2.43,7.20
CONROY,2040,16309,6.05,49172.13,95.38,0.53,0.56,0.66,0.92,1.96
ADLER,2041,16305,6.04,49178.17,95.57,0.56,0.49,0.17,1.31,1.90
EASTMAN,2042,16295,6.04,49184.21,90.40,4.24,0.53,1.58,1.42,1.83
COTTRELL,2043,16288,6.04,49190.25,85.71,10.65,0.38,0.52,1.46,1.29
OROURKE,2044,16263,6.03,49196.28,95.67,0.45,0.49,0.56,1.10,1.74
HAWK,2045,16240,6.02,49202.30,87.18,6.61,0.44,2.87,1.64,1.26
GOLDSMITH,2046,16238,6.02,49208.32,81.27,15.41,0.47,0.34,1.17,1.34
CRANDALL,2047,16212,6.01,49214.33,93.85,2.50,0.47,0.36,1.30,1.52
RADER,2047,16212,6.01,49220.34,94.42,1.10,0.81,0.67,1.25,1.75
REYNOSO,2049,16208,6.01,49226.35,4.00,0.27,1.66,0.22,0.29,93.56
SHOOK,2050,16202,6.01,49232.35,95.90,0.66,0.31,0.67,1.33,1.12
ABERNATHY,2051,16194,6.00,49238.36,80.03,16.55,0.41,0.51,1.33,1.17
BAER,2052,16165,5.99,49244.35,96.10,0.45,0.72,0.26,1.01,1.45
OLIVAS,2053,16164,5.99,49250.34,6.66,0.31,1.11,0.56,0.58,90.78
GRAYSON,2054,16158,5.99,49256.33,52.79,41.65,0.53,1.05,2.33,1.65
BARTLEY,2055,16154,5.99,49262.32,80.59,14.98,0.69,0.97,1.31,1.46
HENNING,2056,16153,5.99,49268.31,93.38,3.60,0.40,0.42,1.08,1.12
PARR,2057,16120,5.98,49274.28,89.75,4.79,1.48,0.59,1.48,1.91
DUFF,2058,16119,5.98,49280.26,87.34,8.62,0.54,0.36,1.56,1.58
BRUNSON,2059,16118,5.97,49286.23,52.49,43.79,0.29,0.32,1.72,1.40
BAUM,2060,16109,5.97,49292.20,95.44,1.64,0.55,0.23,1.05,1.10
ENNIS,2061,16102,5.97,49298.17,85.24,10.74,0.45,0.57,1.50,1.49
LAUGHLIN,2062,16097,5.97,49304.14,93.88,1.75,0.34,1.11,1.18,1.75
FOOTE,2063,16093,5.97,49310.10,83.16,11.34,0.44,1.84,1.57,1.65
VALADEZ,2064,16083,5.96,49316.07,5.07,0.14,0.17,0.32,0.30,94.01
ADAMSON,2065,16080,5.96,49322.03,87.80,8.33,0.38,0.55,1.42,1.53
BEGAY,2066,16076,5.96,49327.99,1.59,0.30,0.24,94.98,1.51,1.37
STOVALL,2067,16073,5.96,49333.94,60.09,35.27,0.37,0.60,2.08,1.58
LINCOLN,2068,16070,5.96,49339.90,77.44,13.69,1.14,3.78,2.15,1.79
CHEUNG,2069,16067,5.96,49345.86,1.40,(S),95.93,(S),2.02,0.52
MALLOY,2070,16056,5.95,49351.81,79.70,16.98,0.39,0.32,1.37,1.24
RIDER,2071,16048,5.95,49357.76,91.35,3.75,0.49,1.66,1.46,1.29
GIORDANO,2072,16036,5.94,49363.70,95.17,0.37,0.40,0.10,1.04,2.92
JANSEN,2072,16036,5.94,49369.65,95.22,0.62,0.75,0.60,1.20,1.60
LOPES,2074,16029,5.94,49375.59,51.21,6.44,2.38,0.47,15.07,24.42
ARNETT,2075,16027,5.94,49381.53,87.73,8.44,0.50,0.59,1.37,1.37
PENDLETON,2076,16026,5.94,49387.47,75.07,20.49,0.53,0.86,1.67,1.38
GAGE,2077,16022,5.94,49393.41,84.14,11.19,0.51,0.78,1.49,1.90
BARRAGAN,2078,16021,5.94,49399.35,4.16,0.11,0.09,0.17,0.26,95.20
KEYES,2079,16020,5.94,49405.29,67.05,23.75,0.89,0.69,1.72,5.91
NAVARRETE,2080,16010,5.93,49411.22,3.92,0.16,2.07,0.13,0.39,93.32
AMADOR,2081,15997,5.93,49417.15,9.60,0.26,1.54,0.44,0.61,87.54
HOFFMANN,2082,15970,5.92,49423.07,96.56,0.21,0.48,0.13,0.70,1.93
HAWTHORNE,2083,15968,5.92,49428.99,61.20,34.75,0.23,0.58,1.86,1.38
SCHILLING,2083,15968,5.92,49434.91,96.52,0.26,0.52,0.29,0.92,1.48
PERDUE,2085,15958,5.92,49440.83,82.47,13.96,0.28,0.61,1.32,1.35
SCHREIBER,2086,15945,5.91,49446.74,96.96,0.18,0.40,0.19,0.77,1.51
AREVALO,2087,15942,5.91,49452.65,4.27,0.32,3.26,0.16,0.41,91.59
NAYLOR,2088,15930,5.91,49458.55,84.73,11.50,0.55,0.60,1.32,1.31
DELUCA,2089,15928,5.90,49464.46,95.91,0.29,0.28,0.10,1.12,2.30
MARCUM,2090,15925,5.90,49470.36,95.79,0.77,0.39,0.58,1.20,1.27
ALTMAN,2091,15916,5.90,49476.26,94.09,2.58,0.43,0.35,1.07,1.48
MARK,2091,15916,5.90,49482.16,71.70,12.38,9.53,2.10,2.06,2.22
CHADWICK,2093,15913,5.90,49488.06,90.54,5.39,0.43,0.52,1.41,1.72
DOAN,2094,15902,5.89,49493.95,37.94,0.64,58.62,0.27,1.79,0.74
EASLEY,2094,15902,5.89,49499.85,64.88,30.10,0.42,1.02,2.06,1.53
LADD,2096,15898,5.89,49505.74,88.81,6.38,0.53,0.95,1.48,1.84
WOODALL,2097,15877,5.89,49511.63,85.49,10.42,0.38,0.89,1.47,1.34
BETANCOURT,2098,15876,5.89,49517.51,9.56,1.00,0.16,0.29,0.40,88.59
SHIN,2099,15857,5.88,49523.39,2.72,0.40,94.77,(S),1.70,(S)
MAGUIRE,2100,15853,5.88,49529.27,96.80,0.21,0.47,0.22,0.95,1.36
BELLAMY,2101,15850,5.88,49535.14,43.46,52.52,0.37,0.35,1.73,1.56
QUINTANILLA,2102,15849,5.88,49541.02,4.99,0.41,1.93,0.15,0.68,91.84
HAM,2103,15843,5.87,49546.89,69.72,11.72,14.11,0.44,1.62,2.39
SORENSON,2104,15833,5.87,49552.76,95.85,0.27,0.58,0.57,1.38,1.35
MATTSON,2105,15825,5.87,49558.63,95.44,0.35,0.78,0.67,1.42,1.35
BRENNER,2106,15809,5.86,49564.49,96.15,0.37,0.50,0.42,0.90,1.65
MEANS,2107,15808,5.86,49570.35,66.23,28.28,0.47,1.68,1.80,1.54
FAUST,2108,15799,5.86,49576.20,86.80,9.91,0.41,0.36,0.94,1.59
CALLOWAY,2109,15784,5.85,49582.06,40.41,55.42,0.34,0.37,2.25,1.22
OJEDA,2110,15780,5.85,49587.91,5.61,0.45,0.85,0.21,0.35,92.53
MCNALLY,2111,15768,5.85,49593.75,95.25,1.21,0.47,0.25,0.94,1.88
DIETRICH,2112,15761,5.84,49599.59,96.35,0.48,0.51,0.31,0.87,1.48
RANSOM,2113,15754,5.84,49605.43,56.72,36.77,0.44,2.34,2.05,1.67
HARE,2114,15739,5.83,49611.27,86.54,9.19,0.41,1.07,1.45,1.33
FELTON,2115,15734,5.83,49617.10,53.14,42.56,0.36,0.44,1.84,1.67
WHITING,2116,15719,5.83,49622.93,78.77,16.21,0.55,1.13,1.60,1.74
BURKHART,2117,15718,5.83,49628.75,96.00,0.27,0.47,0.61,1.16,1.49
CLINTON,2118,15714,5.83,49634.58,67.62,26.15,0.41,1.51,2.25,2.06
SCHWARZ,2119,15713,5.82,49640.40,96.49,0.19,0.48,0.10,0.92,1.82
CLEARY,2120,15685,5.81,49646.22,94.54,2.37,0.42,0.19,1.03,1.45
WETZEL,2121,15674,5.81,49652.03,96.34,0.46,0.48,0.35,0.94,1.42
REAGAN,2122,15673,5.81,49657.84,93.59,2.28,0.53,0.66,1.27,1.68
STJOHN,2123,15663,5.81,49663.64,88.26,5.10,0.52,2.23,1.56,2.33
CHOW,2124,15650,5.80,49669.45,3.55,0.59,88.97,0.10,3.73,3.06
HAUSER,2125,15648,5.80,49675.25,93.77,2.92,0.41,0.27,1.11,1.52
DUPREE,2126,15647,5.80,49681.05,51.79,43.47,0.19,0.94,2.04,1.58
BRANNON,2127,15640,5.80,49686.84,81.83,14.15,0.40,0.81,1.41,1.41
LYLES,2128,15632,5.79,49692.64,41.81,53.28,0.24,0.45,2.11,2.12
PRATHER,2129,15631,5.79,49698.43,77.68,18.39,0.34,0.70,1.50,1.38
WILLOUGHBY,2130,15622,5.79,49704.22,84.18,11.48,0.56,0.86,1.72,1.21
SEPULVEDA,2131,15611,5.79,49710.01,8.07,0.25,0.40,0.34,0.38,90.55
NUGENT,2132,15599,5.78,49715.79,90.35,5.40,0.88,0.30,1.29,1.78
PICKENS,2133,15597,5.78,49721.58,58.63,37.60,0.28,0.57,1.65,1.26
JOINER,2134,15595,5.78,49727.36,66.34,30.00,0.41,0.44,1.24,1.56
MOSHER,2134,15595,5.78,49733.14,95.76,0.34,0.56,0.40,1.33,1.61
STONER,2136,15590,5.78,49738.92,92.70,4.14,0.36,0.45,1.06,1.29
DOWLING,2137,15581,5.78,49744.69,89.74,6.53,0.42,0.40,1.10,1.80
TRIMBLE,2138,15576,5.77,49750.47,82.31,13.73,0.39,0.69,1.27,1.62
VALDES,2139,15567,5.77,49756.24,12.14,0.71,0.99,0.09,0.47,85.60
CHEEK,2140,15566,5.77,49762.01,81.59,13.43,0.58,1.20,1.77,1.43
SCRUGGS,2141,15562,5.77,49767.78,63.76,32.62,0.33,0.35,1.56,1.37
COY,2142,15561,5.77,49773.54,83.75,7.58,0.47,0.62,1.49,6.09
TILLEY,2143,15560,5.77,49779.31,89.34,6.83,0.36,0.95,1.32,1.20
BARNEY,2144,15556,5.77,49785.08,80.19,12.72,0.45,3.21,1.53,1.90
SAYLOR,2145,15547,5.76,49790.84,94.11,2.57,0.36,0.53,0.98,1.45
NAGY,2146,15545,5.76,49796.61,96.06,0.30,0.51,0.21,1.35,1.56
HORVATH,2147,15538,5.76,49802.36,96.76,0.24,0.41,0.11,1.02,1.46
LAI,2148,15490,5.74,49808.11,3.72,(S),92.21,(S),2.92,0.74
COREY,2149,15488,5.74,49813.85,90.06,5.69,0.54,0.46,1.62,1.62
RUTH,2150,15481,5.74,49819.59,84.76,10.92,0.63,0.45,1.47,1.77
SAUER,2151,15474,5.74,49825.32,96.62,0.31,0.62,0.18,0.96,1.31
BARON,2152,15464,5.73,49831.06,84.82,3.05,1.56,0.13,1.39,9.05
THAO,2153,15463,5.73,49836.79,0.57,(S),93.66,(S),5.13,0.49
ROWELL,2154,15457,5.73,49842.52,82.31,13.90,0.40,0.75,1.35,1.29
GRUBBS,2155,15453,5.73,49848.25,85.85,10.08,0.37,0.93,1.38,1.40
HILLMAN,2156,15448,5.73,49853.97,82.70,13.26,0.52,0.56,1.50,1.47
SCHAEFFER,2156,15448,5.73,49859.70,94.58,1.29,0.54,0.95,0.91,1.73
SAMS,2158,15446,5.73,49865.42,77.52,18.67,0.48,0.65,1.41,1.28
HOGUE,2159,15442,5.72,49871.15,82.99,10.87,1.24,1.38,1.68,1.84
HUTSON,2160,15430,5.72,49876.87,86.40,10.17,0.41,0.49,1.32,1.21
BUSBY,2161,15424,5.72,49882.59,79.45,16.11,0.40,0.65,1.77,1.63
NICKERSON,2162,15409,5.71,49888.30,78.60,17.29,0.42,0.66,1.39,1.65
BRUNER,2163,15404,5.71,49894.01,86.18,8.01,0.35,1.86,2.13,1.47
PARHAM,2164,15387,5.70,49899.71,48.91,46.91,0.39,0.39,1.70,1.70
ANDERS,2165,15375,5.70,49905.41,88.89,7.34,0.45,0.32,1.40,1.61
RENDON,2165,15375,5.70,49911.11,8.42,0.32,0.72,0.43,0.49,89.62
LOMBARDO,2167,15368,5.70,49916.81,94.88,0.33,0.23,0.06,1.12,3.39
IVERSON,2168,15366,5.70,49922.50,89.05,7.34,0.44,0.37,1.20,1.59
KINSEY,2169,15357,5.69,49928.20,78.68,16.87,0.36,0.95,1.50,1.63
EARL,2170,15347,5.69,49933.89,74.49,21.12,0.37,0.71,1.50,1.80
BORDEN,2171,15342,5.69,49939.57,81.66,13.45,0.78,0.44,1.53,2.14
JEAN,2172,15321,5.68,49945.25,31.68,55.47,2.34,0.52,7.61,2.38
TITUS,2172,15321,5.68,49950.93,82.04,11.51,1.38,1.70,1.64,1.73
TELLEZ,2174,15320,5.68,49956.61,5.35,0.14,0.20,0.29,0.40,93.62
BEAVERS,2175,15316,5.68,49962.29,79.00,16.63,0.29,0.97,1.66,1.44
CORNETT,2176,15314,5.68,49967.97,92.64,4.00,0.33,0.42,1.51,1.10
SOTELO,2177,15308,5.67,49973.64,5.57,0.21,1.94,0.42,0.66,91.19
KELLOGG,2178,15302,5.67,49979.31,90.81,5.01,0.61,0.68,1.31,1.58
BURNHAM,2179,15299,5.67,49984.98,92.73,3.43,0.49,0.64,1.22,1.50
MCNAIR,2179,15299,5.67,49990.66,42.79,52.96,0.37,0.50,2.01,1.37
SILVERMAN,2179,15299,5.67,49996.33,96.79,0.73,0.48,0.07,0.78,1.15
JERNIGAN,2182,15298,5.67,50002.00,78.45,17.94,0.33,0.69,1.32,1.28
ESCAMILLA,2183,15278,5.66,50007.66,4.53,0.20,0.36,0.31,0.32,94.28
BARROW,2184,15277,5.66,50013.32,70.12,24.60,0.35,0.56,1.77,2.61
COATS,2185,15265,5.66,50018.98,75.47,19.33,0.39,1.12,1.61,2.07
LONDON,2185,15265,5.66,50024.64,59.88,35.14,0.48,0.66,1.77,2.08
REDDING,2187,15264,5.66,50030.30,72.37,23.66,0.27,0.56,1.43,1.70
RUFFIN,2188,15263,5.66,50035.96,15.32,81.05,0.24,0.20,1.87,1.32
YI,2189,15254,5.65,50041.61,1.53,(S),95.02,(S),1.89,1.35
BOUDREAUX,2190,15240,5.65,50047.26,87.68,8.88,0.30,0.57,1.33,1.23
GOODSON,2191,15229,5.65,50052.91,72.88,22.87,0.35,0.72,1.71,1.47
DOWELL,2192,15226,5.64,50058.55,77.51,18.87,0.30,0.45,1.31,1.57
FENTON,2193,15220,5.64,50064.19,90.48,5.69,0.51,0.40,1.20,1.73
MOCK,2194,15208,5.64,50069.83,87.07,6.50,2.89,0.47,1.14,1.93
DOZIER,2195,15207,5.64,50075.47,48.58,47.12,0.26,0.37,2.11,1.55
BYNUM,2196,15204,5.64,50081.10,47.64,48.11,0.39,0.61,1.95,1.30
GALE,2197,15193,5.63,50086.74,85.14,9.20,0.90,0.74,1.67,2.35
JOLLY,2198,15166,5.62,50092.36,78.00,17.20,1.77,0.61,1.16,1.26
BECKMAN,2199,15164,5.62,50097.98,94.86,1.77,0.38,0.53,1.17,1.29
GODDARD,2200,15157,5.62,50103.60,88.05,7.23,0.53,0.79,1.56,1.83
CRAVEN,2201,15149,5.62,50109.21,91.48,5.23,0.32,0.50,1.24,1.23
WHITMORE,2202,15135,5.61,50114.83,77.22,18.74,0.46,0.54,1.78,1.26
LEARY,2203,15127,5.61,50120.43,83.12,13.62,0.73,0.17,1.09,1.26
MCCLOUD,2204,15125,5.61,50126.04,52.84,40.92,0.28,2.52,2.04,1.40
GAMBOA,2205,15117,5.60,50131.64,7.20,0.98,7.15,0.33,1.25,83.09
KERNS,2206,15113,5.60,50137.25,92.60,3.51,0.37,0.95,1.36,1.21
BRUNNER,2207,15105,5.60,50142.84,93.19,3.42,0.47,0.38,1.08,1.46
HOUGH,2208,15090,5.59,50148.44,85.73,10.21,0.72,0.66,1.23,1.44
NEGRON,2208,15090,5.59,50154.03,7.21,1.09,0.22,0.14,0.45,90.89
CUTLER,2210,15087,5.59,50159.63,88.68,7.63,0.57,0.51,1.34,1.27
LEDESMA,2211,15077,5.59,50165.21,7.60,0.25,3.66,0.42,0.77,87.29
PYLE,2212,15066,5.58,50170.80,94.72,1.60,0.37,0.64,1.17,1.49
MONAHAN,2213,15058,5.58,50176.38,96.47,0.18,0.53,0.33,0.76,1.73
TABOR,2213,15058,5.58,50181.96,87.02,7.66,0.85,0.74,1.66,2.07
BURK,2215,15048,5.58,50187.54,92.52,3.32,0.44,0.60,1.29,1.83
LEONE,2216,15047,5.58,50193.12,94.60,0.86,0.57,0.31,1.44,2.21
STAUFFER,2217,15045,5.58,50198.70,97.20,0.20,0.23,0.21,0.91,1.26
HAYWARD,2218,15044,5.58,50204.27,73.26,21.81,0.57,0.98,1.89,1.48
DRIVER,2219,15036,5.57,50209.85,74.53,20.22,0.56,1.62,1.78,1.30
RUFF,2220,15035,5.57,50215.42,75.52,20.96,0.37,0.41,1.42,1.32
TALBOT,2221,15027,5.57,50220.99,93.13,3.21,0.53,0.50,1.08,1.55
SEALS,2222,15020,5.57,50226.56,55.09,40.41,0.28,1.08,1.78,1.36
BOSTON,2223,15003,5.56,50232.12,54.80,40.72,0.49,0.83,1.63,1.53
CARBAJAL,2224,14993,5.56,50237.68,4.36,0.47,0.76,0.29,0.37,93.75
FAY,2225,14992,5.56,50243.24,93.33,2.03,0.82,0.42,1.33,2.07
PURDY,2226,14987,5.56,50248.79,89.60,4.70,1.28,0.54,2.07,1.81
MCGREGOR,2227,14969,5.55,50254.34,83.46,12.49,0.36,0.53,1.59,1.56
SUN,2228,14962,5.55,50259.89,2.78,0.18,93.46,0.33,2.50,0.76
ORELLANA,2229,14943,5.54,50265.43,4.37,0.37,0.34,0.14,0.47,94.31
GENTILE,2230,14938,5.54,50270.96,96.28,0.42,0.31,0.11,0.88,2.01
MAHAN,2231,14937,5.54,50276.50,87.95,6.88,0.70,0.78,1.79,1.89
BROWER,2232,14930,5.53,50282.03,88.05,7.05,0.46,1.39,1.35,1.69
PATINO,2233,14929,5.53,50287.57,7.94,0.21,0.85,0.13,0.34,90.54
THURSTON,2234,14918,5.53,50293.10,85.80,10.24,0.48,0.42,1.66,1.39
SHIPMAN,2235,14917,5.53,50298.63,81.60,13.99,0.49,0.82,1.64,1.46
AARON,2236,14904,5.52,50304.15,69.85,24.76,0.95,0.55,1.61,2.28
TORREZ,2236,14904,5.52,50309.68,7.69,0.45,0.24,0.83,0.45,90.34
CALL,2238,14903,5.52,50315.20,94.91,1.13,0.50,0.46,1.02,1.98
WEINER,2238,14903,5.52,50320.73,96.81,0.34,0.42,0.03,0.98,1.42
WILBURN,2240,14899,5.52,50326.25,68.82,26.52,0.28,0.65,1.85,1.88
OLIVA,2241,14892,5.52,50331.77,28.51,0.56,3.16,0.13,0.85,66.79
HAIRSTON,2242,14891,5.52,50337.29,12.37,83.04,0.20,0.21,2.91,1.27
COLEY,2243,14879,5.52,50342.81,54.12,40.76,0.49,0.90,2.09,1.63
HUMMEL,2244,14878,5.52,50348.32,97.21,0.13,0.47,0.14,0.83,1.22
ARREOLA,2245,14874,5.51,50353.84,2.62,0.16,2.03,0.19,0.41,94.59
WATT,2246,14872,5.51,50359.35,80.96,13.37,1.12,1.01,1.84,1.71
SHARMA,2247,14870,5.51,50364.86,4.23,0.62,85.65,0.44,8.03,1.03
LENTZ,2248,14869,5.51,50370.37,96.14,0.92,0.46,0.32,1.08,1.09
ARCE,2249,14855,5.51,50375.88,8.07,0.79,4.07,0.31,0.82,85.94
POWER,2250,14846,5.50,50381.38,90.93,4.67,0.77,0.41,1.37,1.85
LONGORIA,2251,14843,5.50,50386.89,9.38,0.25,0.20,0.24,0.41,89.52
WAGONER,2252,14841,5.50,50392.39,93.46,2.84,0.49,0.69,1.27,1.25
BURR,2253,14839,5.50,50397.89,88.10,7.20,0.49,1.17,1.61,1.43
HSU,2254,14838,5.50,50403.39,1.82,(S),95.36,(S),2.46,0.26
TINSLEY,2255,14834,5.50,50408.89,65.38,30.49,0.37,0.47,1.75,1.54
BEEBE,2256,14813,5.49,50414.38,94.01,1.22,0.57,0.88,1.66,1.66
WRAY,2257,14812,5.49,50419.87,84.82,11.69,0.33,0.48,1.52,1.17
NUNN,2258,14792,5.48,50425.35,70.69,24.25,0.66,0.72,1.83,1.85
PRIETO,2259,14786,5.48,50430.83,8.56,0.52,1.58,0.37,0.53,88.44
GERMAN,2260,14769,5.47,50436.31,64.31,14.05,0.81,0.66,1.74,18.44
ROWLEY,2261,14760,5.47,50441.78,92.00,4.19,0.47,0.41,1.27,1.66
BRITO,2262,14740,5.46,50447.24,10.29,1.82,0.73,0.18,3.20,83.78
GRUBB,2262,14740,5.46,50452.71,95.81,1.62,0.38,0.35,0.87,0.98
ROYAL,2264,14739,5.46,50458.17,55.46,39.67,0.37,0.45,1.85,2.21
VALENTIN,2265,14720,5.46,50463.63,9.74,3.06,1.56,0.13,0.94,84.58
BARTHOLOMEW,2266,14696,5.45,50469.08,88.06,7.57,0.45,0.63,1.67,1.62
SCHULER,2267,14695,5.45,50474.52,93.79,2.72,0.48,0.63,1.05,1.33
ARANDA,2268,14683,5.44,50479.97,7.14,0.49,2.49,0.30,0.47,89.11
FLINT,2268,14683,5.44,50485.41,86.88,9.40,0.40,0.40,1.41,1.51
HEARN,2270,14680,5.44,50490.85,77.51,18.72,0.41,0.35,1.19,1.83
VENEGAS,2271,14677,5.44,50496.29,4.73,0.18,0.56,0.35,0.33,93.86
UNGER,2272,14668,5.44,50501.73,95.44,1.10,0.50,0.58,1.08,1.31
MATTINGLY,2273,14661,5.43,50507.16,95.55,1.48,0.40,0.63,1.00,0.95
BOLES,2274,14644,5.43,50512.59,83.38,12.82,0.39,0.50,1.69,1.22
BARGER,2275,14635,5.43,50518.02,93.88,2.28,0.25,1.06,1.15,1.38
CASAS,2275,14635,5.43,50523.44,6.63,0.13,1.35,0.14,0.33,91.41
JULIAN,2277,14625,5.42,50528.86,77.07,7.65,4.49,1.32,1.65,7.82
DOW,2278,14622,5.42,50534.28,84.16,9.59,1.25,0.96,1.43,2.61
DOBBINS,2279,14615,5.42,50539.70,73.14,22.88,0.37,0.71,1.72,1.18
VANN,2280,14602,5.41,50545.11,55.50,31.70,4.55,3.63,2.73,1.89
CHESTER,2281,14595,5.41,50550.53,68.46,26.54,0.58,1.27,1.79,1.37
STRANGE,2282,14582,5.41,50555.93,83.53,12.80,0.32,0.54,1.40,1.41
LEMON,2283,14573,5.40,50561.33,63.90,28.96,0.80,0.62,1.66,4.07
KAHN,2284,14570,5.40,50566.73,88.13,1.56,5.40,0.42,2.49,1.99
MCKINNON,2285,14566,5.40,50572.13,72.55,23.09,0.43,0.61,1.50,1.83
GANNON,2286,14565,5.40,50577.53,95.82,0.73,0.50,0.24,1.29,1.42
WAGGONER,2287,14556,5.40,50582.93,93.38,2.62,0.36,0.78,1.42,1.44
CONN,2288,14553,5.39,50588.32,93.11,2.60,0.44,1.06,1.47,1.33
MEEK,2289,14549,5.39,50593.72,92.85,2.32,0.58,0.79,1.40,2.06
CAVAZOS,2290,14543,5.39,50599.11,6.45,0.15,0.14,0.14,0.35,92.77
SKELTON,2291,14542,5.39,50604.50,90.49,5.71,0.54,0.51,1.40,1.35
LO,2292,14534,5.39,50609.89,2.64,1.09,91.93,0.05,3.38,0.92
KUMAR,2293,14517,5.38,50615.27,5.13,0.70,83.83,0.32,8.87,1.16
TOLEDO,2294,14514,5.38,50620.65,9.73,0.50,5.99,8.25,1.65,73.89
