"YEAR","MONTH","GROSS_SALES_TYPE","GROSS_SALES"
"2016","SEPTEMBER","Retail Total Gross Sales",""
"2016","SEPTEMBER","Medical Total Gross Sales",""
"2016","AUGUST   ","Medical Total Gross Sales",""
"2016","AUGUST   ","Retail Total Gross Sales",""
"2016","JULY     ","Retail Total Gross Sales",""
"2016","JULY     ","Medical Total Gross Sales",""
"2016","JUNE     ","Retail Total Gross Sales","21808307.69"
"2016","JUNE     ","Medical Total Gross Sales","18451945.21"
"2016","MAY      ","Medical Total Gross Sales","18139726.03"
"2016","MAY      ","Retail Total Gross Sales","21767244.76"
"2016","APRIL    ","Medical Total Gross Sales","18241534.25"
"2016","APRIL    ","Retail Total Gross Sales","22636825.17"
"2016","MARCH    ","Medical Total Gross Sales","17858438.36"
"2016","MARCH    ","Retail Total Gross Sales","21640895.10"
"2016","FEBRUARY ","Medical Total Gross Sales","15881095.89"
"2016","FEBRUARY ","Retail Total Gross Sales","19168167.83"
"2016","JANUARY  ","Medical Total Gross Sales","15119506.85"
"2016","JANUARY  ","Retail Total Gross Sales","19049188.81"
"2015","DECEMBER ","Retail Total Gross Sales","19386601.40"
"2015","DECEMBER ","Medical Total Gross Sales","15351917.81"
"2015","NOVEMBER ","Medical Total Gross Sales","14234904.11"
"2015","NOVEMBER ","Retail Total Gross Sales","17897720.28"
"2015","OCTOBER  ","Retail Total Gross Sales","19100461.54"
"2015","OCTOBER  ","Medical Total Gross Sales","17121397.26"
"2015","SEPTEMBER","Medical Total Gross Sales","18283835.62"
"2015","SEPTEMBER","Retail Total Gross Sales","20766181.82"
"2015","AUGUST   ","Retail Total Gross Sales","20677944.06"
"2015","AUGUST   ","Medical Total Gross Sales","19030712.33"
"2015","JULY     ","Retail Total Gross Sales","19832895.10"
"2015","JULY     ","Medical Total Gross Sales","20108191.78"
"2015","JUNE     ","Medical Total Gross Sales","15889534.25"
"2015","JUNE     ","Retail Total Gross Sales","17826867.13"
"2015","MAY      ","Retail Total Gross Sales","18324209.79"
"2015","MAY      ","Medical Total Gross Sales","15290602.74"
"2015","APRIL    ","Medical Total Gross Sales","15580904.11"
"2015","APRIL    ","Retail Total Gross Sales","19230573.43"
"2015","MARCH    ","Medical Total Gross Sales","14906438.36"
"2015","MARCH    ","Retail Total Gross Sales","16893566.43"
"2015","FEBRUARY ","Retail Total Gross Sales","14268307.69"
"2015","FEBRUARY ","Medical Total Gross Sales","13453945.21"
"2015","JANUARY  ","Medical Total Gross Sales","13976219.18"
"2015","JANUARY  ","Retail Total Gross Sales","15314377.62"
"2014","DECEMBER ","Medical Total Gross Sales","14854530.39"
"2014","DECEMBER ","Retail Total Gross Sales","14423581.46"
"2014","NOVEMBER ","Medical Total Gross Sales","14324116.02"
"2014","NOVEMBER ","Retail Total Gross Sales","13294943.82"
"2014","OCTOBER  ","Medical Total Gross Sales","15528618.78"
"2014","OCTOBER  ","Retail Total Gross Sales","14561825.84"
"2014","SEPTEMBER","Medical Total Gross Sales","15877734.81"
"2014","SEPTEMBER","Retail Total Gross Sales","14017191.01"
"2014","AUGUST   ","Medical Total Gross Sales","16219530.39"
"2014","AUGUST   ","Retail Total Gross Sales","15714662.92"
"2014","JULY     ","Retail Total Gross Sales","14176193.82"
"2014","JULY     ","Medical Total Gross Sales","14165441.99"
"2014","JUNE     ","Medical Total Gross Sales","13644944.75"
"2014","JUNE     ","Retail Total Gross Sales","12146250.70"
"2014","MAY      ","Retail Total Gross Sales","11028848.17"
"2014","MAY      ","Medical Total Gross Sales","15075331.49"
"2014","APRIL    ","Medical Total Gross Sales","15673149.17"
"2014","APRIL    ","Retail Total Gross Sales","12002513.90"
"2014","MARCH    ","Retail Total Gross Sales","10893525"
"2014","MARCH    ","Medical Total Gross Sales","16537955.80"
"2014","FEBRUARY ","Retail Total Gross Sales","8591699.44"
"2014","FEBRUARY ","Medical Total Gross Sales","15021878.45"
"2014","JANUARY  ","Retail Total Gross Sales","8490576.55"
"2014","JANUARY  ","Medical Total Gross Sales","15462182.32"
